name,locale,translated_value
"sync_toast_added_skipped","ar","تمت إضافة %1$d ملف(ات)، تم تخطي %2$d غير مدعوم"
"sync_toast_added","ar","تمت إضافة %1$d ملف(ات) إلى مجلد المزامنة"
"sync_toast_unsupported","ar","لم يتم تحديد ملفات حزم مدعومة (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","ar","فشل في نسخ الملفات"
"file_size_gb","ar","%1$.1f جيجابايت"
"file_size_mb","ar","%1$.1f ميجابايت"
"file_size_kb","ar","%1$.0f كيلوبايت"
"file_size_b","ar","%1$d بايت"
"setting_retry_root","ar","إعادة محاولة فحص Root"
"setting_section_interface","ar","الواجهة"
"setting_section_security","ar","الأمان"
"setting_lock_install_title","ar","قفل التثبيت"
"setting_lock_install_subtitle","ar","يتطلب القياسات الحيوية لتأكيد التثبيت"
"setting_lock_uninstall_title","ar","قفل إلغاء التثبيت"
"setting_lock_uninstall_subtitle","ar","يتطلب القياسات الحيوية لتأكيد إلغاء التثبيت"
"setting_biometric_unavailable","ar","لم يتم إعداد قياسات حيوية أو قفل جهاز على هذا الجهاز."
"setting_section_sync_short","ar","مزامنة"
"setting_sync_control_panel","ar","لوحة تحكم المزامنة"
"setting_section_advanced","ar","خيارات متقدمة"
"setting_vt_api_key_title","ar","مفتاح VirusTotal API"
"setting_vt_api_key_placeholder","ar","الصق مفتاح API هنا…"
"setting_diagnostics_title","ar","التشخيصات"
"setting_installer_package_title","ar","حزمة المثبت"
"backup_settings_title","ar","إعدادات النسخ الاحتياطي"
"backup_output_path","ar","مسار المخرجات"
"backup_filename_template","ar","قالب اسم الملف"
"backup_tags_hint","ar","العلامات: {name}, {pkg}, {version}, {code}"
"app_name","de","Universal Installer"
"download_notif_running_text","de","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub","de",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","de","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","de","%d%%"
"apk_info_version_detail","de","%1$s (%2$d)"
"uninstall_current_sort_summary","de","%1$s %2$s"
"setting_shizuku_installer_preset_play","de","Google Play Store"
"setting_shizuku_installer_preset_aurora","de","Aurora Store"
"setting_shizuku_installer_preset_fdroid","de","F-Droid"
"setting_shizuku_installer_preset_amazon","de","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","de","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","de","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","de","Xiaomi GetApps"
"setting_about_app_name","de","Universal Installer"
"setting_github_title","de","GitHub"
"setting_telegram_title","de","Telegram"
"setting_website_subtitle","de","universal-installer.pwhs.app"
"setting_rate_title","de","App bewerten"
"about_creator_subtitle","de","Pass With High Score"
"about_license_subtitle","de","GNU GPL v3"
"about_btn_ok","de","OK"
"installer_mode_shizuku","de","Shizuku"
"installer_mode_root","de","Root"
"tv_sync_screen_title","de","An TV senden"
"tv_sync_hero_title","de","Eine App an Ihren TV senden"
"tv_sync_instructions","de","Öffnen Sie auf dem Fernseher Universal Installer → Installieren und scannen Sie dann den dort angezeigten QR-Code."
"tv_sync_btn_scan","de","TV QR-Code scannen"
"tv_sync_prompt_scan","de","Scannen Sie den QR-Code auf Ihrem Fernseher"
"tv_sync_status_connected","de","Verbunden mit %1$s"
"tv_sync_btn_choose_apk","de","APK zum Senden auswählen"
"tv_sync_btn_rescan","de","Einen anderen Fernseher scannen"
"tv_sync_status_sending","de","Senden…"
"tv_sync_status_sent","de","Gesendet ✓ — bestätigen Sie die Installation auf Ihrem Fernseher"
"tv_sync_status_failed","de","Fehlgeschlagen: %1$s"
"sync_storage_permission_title","de","Speicherberechtigung erforderlich"
"sync_storage_permission_message","de","Sync Server benötigt vollen Speicherzugriff, um APK-Dateien zu teilen und zu verwalten. Bitte gewähren Sie in den Einstellungen „Zugriff auf alle Dateien“."
"sync_open_settings","de","Einstellungen öffnen"
"sync_qr_code_title","de","QR-Code scannen"
"sync_qr_code_message","de","Öffnen Sie Ihre Kamera und scannen Sie diesen Code, um auf den Server zuzugreifen."
"sync_close","de","Schließen"
"sync_server_offline","de","Server Offline"
"sync_server_starting","de","Starten…"
"sync_server_online","de","Server Online"
"sync_server_error","de","Fehler"
"sync_hero_subtitle","de","APK-Dateien mit anderen Geräten im selben WLAN-Netzwerk teilen."
"sync_server_mode","de","Server-Modus"
"sync_server_running","de","Läuft"
"sync_server_tap_to_start","de","Zum Starten tippen"
"sync_server_settings","de","Server-Einstellungen"
"sync_port","de","Port"
"sync_require_pin","de","PIN anfordern"
"sync_require_pin_subtitle","de","Übertragungen mit einem Passwort schützen"
"sync_pin_code","de","PIN-Code"
"sync_active_downloads","de","Aktive Downloads"
"sync_active_downloads_count","de","%d wird heruntergeladen"
"sync_no_active_downloads","de","Keine aktiven Downloads"
"sync_server_url","de","Server-URL"
"sync_active_transfer","de","Aktive Übertragung"
"sync_active_transfers_count","de","Aktive Übertragungen (%d)"
"sync_add_files_to_share","de","Dateien zum Teilen hinzufügen"
"sync_shared_files_count","de","Geteilte Dateien (%1$d)"
"sync_empty_state_message","de","Schalten Sie den Server ein, um Dateien zu teilen"
"sync_delete_cd","de","Löschen"
"sync_percentage","de","%1$d%%"
"sync_transfer_progress","de","%1$s / %2$s"
"sync_toast_added_skipped","de","%1$d Datei(en) hinzugefügt, %2$d nicht unterstützte übersprungen"
"sync_toast_added","de","%1$d Datei(en) zum Sync-Ordner hinzugefügt"
"sync_toast_unsupported","de","Keine unterstützten Paketdateien ausgewählt (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","de","Fehler beim Kopieren der Dateien"
"file_size_gb","de","%1$.1f GB"
"file_size_mb","de","%1$.1f MB"
"file_size_kb","de","%1$.0f KB"
"file_size_b","de","%1$d B"
"setting_retry_root","de","Root-Probe wiederholen"
"setting_section_interface","de","Benutzeroberfläche"
"setting_section_security","de","Sicherheit"
"setting_lock_install_title","de","Installationen sperren"
"setting_lock_install_subtitle","de","Biometrie zur Bestätigung der Installation anfordern"
"setting_lock_uninstall_title","de","Deinstallationen sperren"
"setting_lock_uninstall_subtitle","de","Biometrie zur Bestätigung der Deinstallation anfordern"
"setting_biometric_unavailable","de","Auf diesem Gerät ist keine Biometrie oder Gerätesperre eingerichtet."
"setting_section_sync_short","de","Sync"
"setting_sync_control_panel","de","Sync-Kontrollzentrum"
"setting_section_advanced","de","Erweitert"
"setting_vt_api_key_title","de","VirusTotal-API-Schlüssel"
"setting_vt_api_key_placeholder","de","API-Schlüssel hier einfügen…"
"setting_diagnostics_title","de","Diagnose"
"setting_installer_package_title","de","Installer-Paket"
"backup_settings_title","de","Backup-Einstellungen"
"backup_output_path","de","Ausgabepfad"
"backup_filename_template","de","Dateinamenvorlage"
"backup_tags_hint","de","Tags: {name}, {pkg}, {version}, {code}"
"app_name","el","Universal Installer"
"download_notif_running_text","el","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub","el",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","el","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","el","%d%%"
"apk_info_version_detail","el","%1$s (%2$d)"
"uninstall_current_sort_summary","el","%1$s %2$s"
"setting_shizuku_installer_preset_play","el","Google Play Store"
"setting_shizuku_installer_preset_aurora","el","Aurora Store"
"setting_shizuku_installer_preset_fdroid","el","F-Droid"
"setting_shizuku_installer_preset_amazon","el","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","el","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","el","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","el","Xiaomi GetApps"
"setting_about_app_name","el","Universal Installer"
"setting_github_title","el","GitHub"
"setting_telegram_title","el","Telegram"
"setting_website_subtitle","el","universal-installer.pwhs.app"
"setting_rate_title","el","Βαθμολογήστε την εφαρμογή"
"about_creator_subtitle","el","Pass With High Score"
"about_license_subtitle","el","GNU GPL v3"
"about_btn_ok","el","ΟΚ"
"installer_mode_shizuku","el","Shizuku"
"installer_mode_root","el","Root"
"tv_sync_screen_title","el","Αποστολή στην τηλεόραση"
"tv_sync_hero_title","el","Στείλτε μια εφαρμογή στην τηλεόρασή σας"
"tv_sync_instructions","el","Στην τηλεόραση, ανοίξτε το Universal Installer → Εγκατάσταση και, στη συνέχεια, σαρώστε το QR που εμφανίζεται εκεί."
"tv_sync_btn_scan","el","Σάρωση TV QR"
"tv_sync_prompt_scan","el","Σαρώστε το QR στην τηλεόρασή σας"
"tv_sync_status_connected","el","Συνδέθηκε σε %1$s"
"tv_sync_btn_choose_apk","el","Επιλέξτε APK για αποστολή"
"tv_sync_btn_rescan","el","Σάρωση διαφορετικής τηλεόρασης"
"tv_sync_status_sending","el","Αποστολή…"
"tv_sync_status_sent","el","Στάλθηκε ✓ — επιβεβαιώστε την εγκατάσταση στην τηλεόρασή σας"
"tv_sync_status_failed","el","Αποτυχία: %1$s"
"sync_storage_permission_title","el","Απαιτείται άδεια αποθηκευτικού χώρου"
"sync_storage_permission_message","el","Ο διακομιστής συγχρονισμού χρειάζεται πλήρη πρόσβαση στον χώρο αποθήκευσης για κοινή χρήση και διαχείριση αρχείων APK. Παρακαλούμε παραχωρήστε Πρόσβαση σε όλα τα αρχεία στις Ρυθμίσεις."
"sync_open_settings","el","Άνοιγμα ρυθμίσεων"
"sync_qr_code_title","el","Σάρωση κωδικού QR"
"sync_qr_code_message","el","Ανοίξτε την κάμερά σας και σαρώστε αυτόν τον κωδικό για πρόσβαση στον διακομιστή."
"sync_close","el","Κλείσιμο"
"sync_server_offline","el","Διακομιστής εκτός σύνδεσης"
"sync_server_starting","el","Εκκίνηση…"
"sync_server_online","el","Διακομιστής σε σύνδεση"
"sync_server_error","el","Σφάλμα"
"sync_hero_subtitle","el","Μοιραστείτε αρχεία APK σε άλλες συσκευές στο ίδιο δίκτυο Wi-Fi."
"sync_server_mode","el","Λειτουργία διακομιστή"
"sync_server_running","el","Σε λειτουργία"
"sync_server_tap_to_start","el","Πατήστε για έναρξη"
"sync_server_settings","el","Ρυθμίσεις διακομιστή"
"sync_port","el","Θύρα"
"sync_require_pin","el","Απαιτείται PIN"
"sync_require_pin_subtitle","el","Προστατέψτε τις μεταφορές με κωδικό πρόσβασης"
"sync_pin_code","el","Κωδικός PIN"
"sync_active_downloads","el","Ενεργές λήψεις"
"sync_active_downloads_count","el","%d λήψη"
"sync_no_active_downloads","el","Καμία ενεργή λήψη"
"sync_server_url","el","URL διακομιστή"
"sync_active_transfer","el","Ενεργή μεταφορά"
"sync_active_transfers_count","el","Ενεργές μεταφορές (%d)"
"sync_add_files_to_share","el","Προσθήκη αρχείων για κοινή χρήση"
"sync_shared_files_count","el","Κοινόχρηστα αρχεία (%1$d)"
"sync_empty_state_message","el","Ενεργοποιήστε τον διακομιστή για να ξεκινήσετε την κοινή χρήση αρχείων"
"sync_delete_cd","el","Διαγραφή"
"sync_percentage","el","%1$d%%"
"sync_transfer_progress","el","%1$s / %2$s"
"sync_toast_added_skipped","el","Προστέθηκαν %1$d αρχεία, παραλείφθηκαν %2$d μη υποστηριζόμενα"
"sync_toast_added","el","Προστέθηκαν %1$d αρχεία στον Φάκελο Συγχρονισμού"
"sync_toast_unsupported","el","Δεν επιλέχθηκαν υποστηριζόμενα αρχεία πακέτου (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","el","Αποτυχία αντιγραφής αρχείων"
"file_size_gb","el","%1$.1f GB"
"file_size_mb","el","%1$.1f MB"
"file_size_kb","el","%1$.0f KB"
"file_size_b","el","%1$d B"
"setting_retry_root","el","Επανάληψη δοκιμής Root"
"setting_section_interface","el","Διεπαφή"
"setting_section_security","el","Ασφάλεια"
"setting_lock_install_title","el","Κλείδωμα εγκαταστάσεων"
"setting_lock_install_subtitle","el","Απαιτείται βιομετρική επιβεβαίωση για εγκατάσταση"
"setting_lock_uninstall_title","el","Κλείδωμα απεγκαταστάσεων"
"setting_lock_uninstall_subtitle","el","Απαιτείται βιομετρική επιβεβαίωση για απεγκατάσταση"
"setting_biometric_unavailable","el","Δεν έχει ρυθμιστεί βιομετρικό κλείδωμα ή κλείδωμα συσκευής σε αυτήν τη συσκευή."
"setting_section_sync_short","el","Συγχρονισμός"
"setting_sync_control_panel","el","Πίνακας ελέγχου συγχρονισμού"
"setting_section_advanced","el","Για προχωρημένους"
"setting_vt_api_key_title","el","Κλειδί API VirusTotal"
"setting_vt_api_key_placeholder","el","Επικολλήστε το κλειδί API εδώ…"
"setting_diagnostics_title","el","Διαγνωστικά"
"setting_installer_package_title","el","Πακέτο εγκατάστασης"
"backup_settings_title","el","Ρυθμίσεις αντιγράφων ασφαλείας"
"backup_output_path","el","Διαδρομή εξόδου"
"backup_filename_template","el","Πρότυπο ονόματος αρχείου"
"backup_tags_hint","el","Ετικέτες: {name}, {pkg}, {version}, {code}"
"app_name","es","Universal Installer"
"download_notif_running_text","es","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub","es",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","es","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","es","%d%%"
"apk_info_version_detail","es","%1$s (%2$d)"
"uninstall_current_sort_summary","es","%1$s %2$s"
"setting_shizuku_installer_preset_play","es","Google Play Store"
"setting_shizuku_installer_preset_aurora","es","Aurora Store"
"setting_shizuku_installer_preset_fdroid","es","F-Droid"
"setting_shizuku_installer_preset_amazon","es","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","es","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","es","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","es","Xiaomi GetApps"
"setting_about_app_name","es","Universal Installer"
"setting_github_title","es","GitHub"
"setting_telegram_title","es","Telegram"
"setting_website_subtitle","es","universal-installer.pwhs.app"
"setting_rate_title","es","Calificar aplicación"
"about_creator_subtitle","es","Pass With High Score"
"about_license_subtitle","es","GNU GPL v3"
"about_btn_ok","es","Aceptar"
"installer_mode_shizuku","es","Shizuku"
"installer_mode_root","es","Root"
"tv_sync_screen_title","es","Enviar al TV"
"tv_sync_hero_title","es","Enviar una aplicación a su TV"
"tv_sync_instructions","es","En el TV, abra Universal Installer → Instalar y, a continuación, escanee el código QR que se muestra allí."
"tv_sync_btn_scan","es","Escanear QR de TV"
"tv_sync_prompt_scan","es","Escanee el QR en su TV"
"tv_sync_status_connected","es","Conectado a %1$s"
"tv_sync_btn_choose_apk","es","Elegir APK para enviar"
"tv_sync_btn_rescan","es","Escanear un TV diferente"
"tv_sync_status_sending","es","Enviando…"
"tv_sync_status_sent","es","Enviado ✓ — confirme la instalación en su TV"
"tv_sync_status_failed","es","Error: %1$s"
"sync_storage_permission_title","es","Se requiere permiso de almacenamiento"
"sync_storage_permission_message","es","El servidor de sincronización necesita acceso completo al almacenamiento para compartir y administrar archivos APK. Conceda Acceso a todos los archivos en Ajustes."
"sync_open_settings","es","Abrir Ajustes"
"sync_qr_code_title","es","Escanear código QR"
"sync_qr_code_message","es","Abra su cámara y escanee este código para acceder al servidor."
"sync_close","es","Cerrar"
"sync_server_offline","es","Servidor sin conexión"
"sync_server_starting","es","Iniciando…"
"sync_server_online","es","Servidor en línea"
"sync_server_error","es","Error"
"sync_hero_subtitle","es","Compartir archivos APK con otros dispositivos en la misma red Wi-Fi."
"sync_server_mode","es","Modo servidor"
"sync_server_running","es","En ejecución"
"sync_server_tap_to_start","es","Tocar para iniciar"
"sync_server_settings","es","Ajustes del servidor"
"sync_port","es","Puerto"
"sync_require_pin","es","Requerir PIN"
"sync_require_pin_subtitle","es","Proteger las transferencias con una contraseña"
"sync_pin_code","es","Código PIN"
"sync_active_downloads","es","Descargas activas"
"sync_active_downloads_count","es","%d descargando"
"sync_no_active_downloads","es","No hay descargas activas"
"sync_server_url","es","URL del servidor"
"sync_active_transfer","es","Transferencia activa"
"sync_active_transfers_count","es","Transferencias activas (%d)"
"sync_add_files_to_share","es","Añadir archivos para compartir"
"sync_shared_files_count","es","Archivos compartidos (%1$d)"
"sync_empty_state_message","es","Encienda el servidor para empezar a compartir archivos"
"sync_delete_cd","es","Eliminar"
"sync_percentage","es","%1$d%%"
"sync_transfer_progress","es","%1$s / %2$s"
"sync_toast_added_skipped","es","Se han añadido %1$d archivo(s), se han omitido %2$d no compatibles"
"sync_toast_added","es","Se han añadido %1$d archivo(s) a la carpeta de sincronización"
"sync_toast_unsupported","es","No se seleccionaron archivos de paquete compatibles (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","es","No se pudieron copiar los archivos"
"file_size_gb","es","%1$.1f GB"
"file_size_mb","es","%1$.1f MB"
"file_size_kb","es","%1$.0f KB"
"file_size_b","es","%1$d B"
"setting_retry_root","es","Reintentar prueba de Root"
"setting_section_interface","es","Interfaz"
"setting_section_security","es","Seguridad"
"setting_lock_install_title","es","Bloquear instalaciones"
"setting_lock_install_subtitle","es","Requerir datos biométricos para confirmar la instalación"
"setting_lock_uninstall_title","es","Bloquear desinstalaciones"
"setting_lock_uninstall_subtitle","es","Requerir datos biométricos para confirmar la desinstalación"
"setting_biometric_unavailable","es","No se ha configurado ningún bloqueo biométrico o de dispositivo en este dispositivo."
"setting_section_sync_short","es","Sincronizar"
"setting_sync_control_panel","es","Panel de control de sincronización"
"setting_section_advanced","es","Avanzado"
"setting_vt_api_key_title","es","Clave API de VirusTotal"
"setting_vt_api_key_placeholder","es","Pegue la clave API aquí…"
"setting_diagnostics_title","es","Diagnóstico"
"setting_installer_package_title","es","Paquete de instalación"
"backup_settings_title","es","Ajustes de copia de seguridad"
"backup_output_path","es","Ruta de salida"
"backup_filename_template","es","Plantilla de nombre de archivo"
"backup_tags_hint","es","Etiquetas: {name}, {pkg}, {version}, {code}"
"app_name","fr","Universal Installer"
"download_notif_running_text","fr","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub","fr",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","fr","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","fr","%d%%"
"apk_info_version_detail","fr","%1$s (%2$d)"
"uninstall_current_sort_summary","fr","%1$s %2$s"
"setting_shizuku_installer_preset_play","fr","Google Play Store"
"setting_shizuku_installer_preset_aurora","fr","Aurora Store"
"setting_shizuku_installer_preset_fdroid","fr","F-Droid"
"setting_shizuku_installer_preset_amazon","fr","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","fr","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","fr","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","fr","Xiaomi GetApps"
"setting_about_app_name","fr","Universal Installer"
"setting_github_title","fr","GitHub"
"setting_telegram_title","fr","Telegram"
"setting_website_subtitle","fr","universal-installer.pwhs.app"
"setting_rate_title","fr","Évaluer l'application"
"about_creator_subtitle","fr","Pass With High Score"
"about_license_subtitle","fr","GNU GPL v3"
"about_btn_ok","fr","OK"
"installer_mode_shizuku","fr","Shizuku"
"installer_mode_root","fr","Root"
"tv_sync_screen_title","fr","Envoyer vers la TV"
"tv_sync_hero_title","fr","Envoyer une application sur votre TV"
"tv_sync_instructions","fr","Sur la TV, ouvrez Universal Installer → Installer, puis scannez le code QR qui s'y affiche."
"tv_sync_btn_scan","fr","Scanner le code QR TV"
"tv_sync_prompt_scan","fr","Scannez le code QR sur votre TV"
"tv_sync_status_connected","fr","Connecté à %1$s"
"tv_sync_btn_choose_apk","fr","Choisir l'APK à envoyer"
"tv_sync_btn_rescan","fr","Scanner une autre TV"
"tv_sync_status_sending","fr","Envoi…"
"tv_sync_status_sent","fr","Envoyé ✓ — confirmez l'installation sur votre TV"
"tv_sync_status_failed","fr","Échec: %1$s"
"sync_storage_permission_title","fr","Autorisation de stockage requise"
"sync_storage_permission_message","fr","Le serveur de synchronisation a besoin d'un accès complet au stockage pour partager et gérer les fichiers APK. Veuillez accorder \Accès à tous les fichiers\ dans les paramètres."
"sync_open_settings","fr","Ouvrir les paramètres"
"sync_qr_code_title","fr","Scanner le code QR"
"sync_qr_code_message","fr","Ouvrez votre appareil photo et scannez ce code pour accéder au serveur."
"sync_close","fr","Fermer"
"sync_server_offline","fr","Serveur hors ligne"
"sync_server_starting","fr","Démarrage…"
"sync_server_online","fr","Serveur en ligne"
"sync_server_error","fr","Erreur"
"sync_hero_subtitle","fr","Partager des fichiers APK avec d'autres appareils sur le même réseau Wi-Fi."
"sync_server_mode","fr","Mode serveur"
"sync_server_running","fr","En cours d'exécution"
"sync_server_tap_to_start","fr","Appuyez pour démarrer"
"sync_server_settings","fr","Paramètres du serveur"
"sync_port","fr","Port"
"sync_require_pin","fr","Nécessite un code PIN"
"sync_require_pin_subtitle","fr","Protéger les transferts avec un mot de passe"
"sync_pin_code","fr","Code PIN"
"sync_active_downloads","fr","Téléchargements actifs"
"sync_active_downloads_count","fr","%d en cours de téléchargement"
"sync_no_active_downloads","fr","Aucun téléchargement actif"
"sync_server_url","fr","URL du serveur"
"sync_active_transfer","fr","Transfert actif"
"sync_active_transfers_count","fr","Transferts actifs (%d)"
"sync_add_files_to_share","fr","Ajouter des fichiers à partager"
"sync_shared_files_count","fr","Fichiers partagés (%1$d)"
"sync_empty_state_message","fr","Activez le serveur pour commencer à partager des fichiers"
"sync_delete_cd","fr","Supprimer"
"sync_percentage","fr","%1$d%%"
"sync_transfer_progress","fr","%1$s / %2$s"
"sync_toast_added_skipped","fr","%1$d fichier(s) ajouté(s), %2$d non pris en charge ignoré(s)"
"sync_toast_added","fr","%1$d fichier(s) ajouté(s) au dossier de synchronisation"
"sync_toast_unsupported","fr","Aucun fichier de package pris en charge sélectionné (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","fr","Échec de la copie des fichiers"
"file_size_gb","fr","%1$.1f Go"
"file_size_mb","fr","%1$.1f Mo"
"file_size_kb","fr","%1$.0f Ko"
"file_size_b","fr","%1$d o"
"setting_retry_root","fr","Réessayer la sonde Root"
"setting_section_interface","fr","Interface"
"setting_section_security","fr","Sécurité"
"setting_lock_install_title","fr","Verrouiller les installations"
"setting_lock_install_subtitle","fr","Nécessite des données biométriques pour confirmer l'installation"
"setting_lock_uninstall_title","fr","Verrouiller les désinstallations"
"setting_lock_uninstall_subtitle","fr","Nécessite des données biométriques pour confirmer la désinstallation"
"setting_biometric_unavailable","fr","Aucun verrouillage biométrique ou de l'appareil configuré sur cet appareil."
"setting_section_sync_short","fr","Synchroniser"
"setting_sync_control_panel","fr","Panneau de configuration de la synchronisation"
"setting_section_advanced","fr","Avancé"
"setting_vt_api_key_title","fr","Clé API VirusTotal"
"setting_vt_api_key_placeholder","fr","Collez la clé API ici…"
"setting_diagnostics_title","fr","Diagnostics"
"setting_installer_package_title","fr","Package d'installation"
"backup_settings_title","fr","Paramètres de sauvegarde"
"backup_output_path","fr","Chemin de sortie"
"backup_filename_template","fr","Modèle de nom de fichier"
"backup_tags_hint","fr","Tags: {name}, {pkg}, {version}, {code}"
"tv_sync_prompt_scan","fr","Scannez le code QR sur votre TV"
"tv_sync_status_connected","fr","Connecté à %1$s"
"tv_sync_btn_choose_apk","fr","Choisir l'APK à envoyer"
"tv_sync_btn_rescan","fr","Scanner une autre TV"
"tv_sync_status_sending","fr","Envoi en cours…"
"tv_sync_status_sent","fr","Envoyé ✓ — confirmez l'installation sur votre TV"
"tv_sync_status_failed","fr","Échec : %1$s"
"sync_storage_permission_title","fr","Autorisation de stockage requise"
"sync_storage_permission_message","fr","Le serveur de synchronisation nécessite un accès complet au stockage pour partager et gérer les fichiers APK. Veuillez accorder « Accès à tous les fichiers » dans les paramètres."
"sync_open_settings","fr","Ouvrir les paramètres"
"sync_qr_code_title","fr","Scanner le code QR"
"sync_qr_code_message","fr","Ouvrez votre appareil photo et scannez ce code pour accéder au serveur."
"sync_close","fr","Fermer"
"sync_server_offline","fr","Serveur hors ligne"
"sync_server_starting","fr","Démarrage…"
"sync_server_online","fr","Serveur en ligne"
"sync_server_error","fr","Erreur"
