Key,Base,Language,Translation
"sync_add_files_to_share","Add Files to Share","fr","Ajouter des fichiers à partager"
"sync_shared_files_count","Shared Files (%1$d)","fr","Fichiers partagés (%1$d)"
"sync_empty_state_message","Turn on the server to start sharing files","fr","Activez le serveur pour commencer à partager des fichiers"
"sync_delete_cd","Delete","fr","Supprimer"
"sync_percentage","%1$d%%","fr","%1$d%%"
"sync_transfer_progress","%1$s / %2$s","fr","%1$s / %2$s"
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","fr","%1$d fichier(s) ajouté(s), %2$d non pris en charge ignoré(s)"
"sync_toast_added","Added %1$d file(s) to Sync Folder","fr","%1$d fichier(s) ajouté(s) au dossier de synchronisation"
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","fr","Aucun fichier de package pris en charge sélectionné (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","Failed to copy files","fr","Échec de la copie des fichiers"
"file_size_gb","%1$.1f GB","fr","%1$.1f Go"
"file_size_mb","%1$.1f MB","fr","%1$.1f Mo"
"file_size_kb","%1$.0f KB","fr","%1$.0f Ko"
"file_size_b","%1$d B","fr","%1$d o"
"setting_retry_root","Retry Root Probe","fr","Réessayer la sonde Root"
"setting_section_interface","Interface","fr","Interface"
"setting_section_security","Security","fr","Sécurité"
"setting_lock_install_title","Lock Installations","fr","Verrouiller les installations"
"setting_lock_install_subtitle","Require biometric to confirm install","fr","Exiger la biométrie pour confirmer l'installation"
"setting_lock_uninstall_title","Lock Uninstalls","fr","Verrouiller les désinstallations"
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","fr","Exiger la biométrie pour confirmer la désinstallation"
"setting_biometric_unavailable","No biometric or device lock set up on this device.","fr","Aucune biométrie ni verrouillage d'appareil configuré sur cet appareil."
"setting_section_sync_short","Sync","fr","Synchro"
"setting_sync_control_panel","Sync Control Panel","fr","Panneau de configuration de la synchronisation"
"setting_section_advanced","Advanced","fr","Avancé"
"setting_vt_api_key_title","VirusTotal API Key","fr","Clé API VirusTotal"
"setting_vt_api_key_placeholder","Paste API key here…","fr","Collez la clé API ici…"
"setting_diagnostics_title","Diagnostics","fr","Diagnostics"
"setting_installer_package_title","Installer Package","fr","Package du programme d'installation"
"backup_settings_title","Backup Settings","fr","Paramètres de sauvegarde"
"backup_output_path","Output Path","fr","Chemin de sortie"
"backup_filename_template","Filename Template","fr","Modèle de nom de fichier"
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","fr","Balises : {name}, {pkg}, {version}, {code}"
"app_name","Universal Installer","hi","यूनिवर्सल इंस्टालर"
"download_notif_running_text","%1$s / %2$s · %3$d%%","hi","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","hi",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","%1$s / %2$s · %3$d%%","hi","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","%d%%","hi","%d%%"
"apk_info_version_detail","%1$s (%2$d)","hi","%1$s (%2$d)"
"uninstall_current_sort_summary","%1$s %2$s","hi","%1$s %2$s"
"setting_shizuku_installer_preset_play","Google Play Store","hi","Google Play Store"
"setting_shizuku_installer_preset_aurora","Aurora Store","hi","Aurora Store"
"setting_shizuku_installer_preset_fdroid","F-Droid","hi","F-Droid"
"setting_shizuku_installer_preset_amazon","Amazon Appstore","hi","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","hi","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","hi","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","hi","Xiaomi GetApps"
"setting_about_app_name","Universal Installer","hi","यूनिवर्सल इंस्टालर"
"setting_github_title","GitHub","hi","GitHub"
"setting_telegram_title","Telegram","hi","Telegram"
"setting_website_subtitle","universal-installer.pwhs.app","hi","universal-installer.pwhs.app"
"setting_rate_title","Rate App","hi","ऐप को रेट करें"
"about_creator_subtitle","Pass With High Score","hi","Pass With High Score"
"about_license_subtitle","GNU GPL v3","hi","GNU GPL v3"
"about_btn_ok","OK","hi","ठीक है"
"installer_mode_shizuku","Shizuku","hi","Shizuku"
"installer_mode_root","Root","hi","Root"
"tv_sync_screen_title","Send to TV","hi","टीवी पर भेजें"
"tv_sync_hero_title","Send an app to your TV","hi","अपने टीवी पर एक ऐप भेजें"
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","hi","टीवी पर, यूनिवर्सल इंस्टालर → इंस्टॉल खोलें, फिर वहां दिखाए गए QR को स्कैन करें।"
"tv_sync_btn_scan","Scan TV QR","hi","टीवी QR स्कैन करें"
"tv_sync_prompt_scan","Scan the QR on your TV","hi","अपने टीवी पर QR स्कैन करें"
"tv_sync_status_connected","Connected to %1$s","hi","%1$s से कनेक्ट हो गया"
"tv_sync_btn_choose_apk","Choose APK to send","hi","भेजने के लिए APK चुनें"
"tv_sync_btn_rescan","Scan a different TV","hi","एक अलग टीवी को स्कैन करें"
"tv_sync_status_sending","Sending…","hi","भेज रहा है…"
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","hi","भेजा गया ✓ — अपने टीवी पर इंस्टॉलेशन की पुष्टि करें"
"tv_sync_status_failed","Failed: %1$s","hi","विफल: %1$s"
"sync_storage_permission_title","Storage Permission Required","hi","स्टोरेज अनुमति आवश्यक है"
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant ""All files access"" in Settings.","hi","सिंक सर्वर को APK फ़ाइलों को साझा और प्रबंधित करने के लिए पूर्ण स्टोरेज एक्सेस की आवश्यकता होती है। कृपया सेटिंग्स में ""सभी फ़ाइलों तक पहुंच"" प्रदान करें।"
"sync_open_settings","Open Settings","hi","सेटिंग्स खोलें"
"sync_qr_code_title","Scan QR Code","hi","QR कोड स्कैन करें"
"sync_qr_code_message","Open your camera and scan this code to access the server.","hi","अपना कैमरा खोलें और सर्वर तक पहुँचने के लिए इस कोड को स्कैन करें।"
"sync_close","Close","hi","बंद करें"
"sync_server_offline","Server Offline","hi","सर्वर ऑफ़लाइन"
"sync_server_starting","Starting…","hi","शुरू हो रहा है…"
"sync_server_online","Server Online","hi","सर्वर ऑनलाइन"
"sync_server_error","Error","hi","त्रुटि"
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","hi","एक ही वाई-फाई नेटवर्क पर अन्य उपकरणों पर APK फ़ाइलें साझा करें।"
"sync_server_mode","Server Mode","hi","सर्वर मोड"
"sync_server_running","Running","hi","चल रहा है"
"sync_server_tap_to_start","Tap to start","hi","शुरू करने के लिए टैप करें"
"sync_server_settings","Server Settings","hi","सर्वर सेटिंग्स"
"sync_port","Port","hi","पोर्ट"
"sync_require_pin","Require PIN","hi","पिन की आवश्यकता है"
"sync_require_pin_subtitle","Guard transfers with a password","hi","पासवर्ड से ट्रांसफर को सुरक्षित करें"
"sync_pin_code","PIN Code","hi","पिन कोड"
"sync_active_downloads","Active Downloads","hi","सक्रिय डाउनलोड"
"sync_active_downloads_count","%d downloading","hi","%d डाउनलोड हो रहा है"
"sync_no_active_downloads","No active downloads","hi","कोई सक्रिय डाउनलोड नहीं"
"sync_server_url","Server URL","hi","सर्वर URL"
"sync_active_transfer","Active Transfer","hi","सक्रिय ट्रांसफर"
"sync_active_transfers_count","Active Transfers (%d)","hi","सक्रिय ट्रांसफर (%d)"
"sync_add_files_to_share","Add Files to Share","hi","साझा करने के लिए फ़ाइलें जोड़ें"
"sync_shared_files_count","Shared Files (%1$d)","hi","साझा की गई फ़ाइलें (%1$d)"
"sync_empty_state_message","Turn on the server to start sharing files","hi","फ़ाइलें साझा करना शुरू करने के लिए सर्वर चालू करें"
"sync_delete_cd","Delete","hi","हटाएं"
"sync_percentage","%1$d%%","hi","%1$d%%"
"sync_transfer_progress","%1$s / %2$s","hi","%1$s / %2$s"
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","hi","%1$d फ़ाइलें जोड़ी गईं, %2$d असमर्थित छोड़ी गईं"
"sync_toast_added","Added %1$d file(s) to Sync Folder","hi","%1$d फ़ाइलें सिंक फ़ोल्डर में जोड़ी गईं"
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","hi","कोई समर्थित पैकेज फ़ाइल चयनित नहीं है (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","Failed to copy files","hi","फ़ाइलों की प्रतिलिपि बनाने में विफल"
"file_size_gb","%1$.1f GB","hi","%1$.1f GB"
"file_size_mb","%1$.1f MB","hi","%1$.1f MB"
"file_size_kb","%1$.0f KB","hi","%1$.0f KB"
"file_size_b","%1$d B","hi","%1$d B"
"setting_retry_root","Retry Root Probe","hi","रूट जांच का पुनः प्रयास करें"
"setting_section_interface","Interface","hi","इंटरफेस"
"setting_section_security","Security","hi","सुरक्षा"
"setting_lock_install_title","Lock Installations","hi","इंस्टॉलेशन लॉक करें"
"setting_lock_install_subtitle","Require biometric to confirm install","hi","इंस्टॉल की पुष्टि करने के लिए बायोमेट्रिक आवश्यक है"
"setting_lock_uninstall_title","Lock Uninstalls","hi","अनइंस्टॉल लॉक करें"
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","hi","अनइंस्टॉल की पुष्टि करने के लिए बायोमेट्रिक आवश्यक है"
"setting_biometric_unavailable","No biometric or device lock set up on this device.","hi","इस डिवाइस पर कोई बायोमेट्रिक या डिवाइस लॉक सेट नहीं है।"
"setting_section_sync_short","Sync","hi","सिंक"
"setting_sync_control_panel","Sync Control Panel","hi","सिंक कंट्रोल पैनल"
"setting_section_advanced","Advanced","hi","उन्नत"
"setting_vt_api_key_title","VirusTotal API Key","hi","VirusTotal API कुंजी"
"setting_vt_api_key_placeholder","Paste API key here…","hi","यहां API कुंजी पेस्ट करें…"
"setting_diagnostics_title","Diagnostics","hi","डायग्नोस्टिक्स"
"setting_installer_package_title","Installer Package","hi","इंस्टॉलर पैकेज"
"backup_settings_title","Backup Settings","hi","बैकअप सेटिंग्स"
"backup_output_path","Output Path","hi","आउटपुट पथ"
"backup_filename_template","Filename Template","hi","फ़ाइल नाम टेम्पलेट"
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","hi","टैग: {name}, {pkg}, {version}, {code}"
"app_name","Universal Installer","in","Universal Installer"
"download_notif_running_text","%1$s / %2$s · %3$d%%","in","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","in",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","%1$s / %2$s · %3$d%%","in","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","%d%%","in","%d%%"
"apk_info_version_detail","%1$s (%2$d)","in","%1$s (%2$d)"
"uninstall_current_sort_summary","%1$s %2$s","in","%1$s %2$s"
"setting_shizuku_installer_preset_play","Google Play Store","in","Google Play Store"
"setting_shizuku_installer_preset_aurora","Aurora Store","in","Aurora Store"
"setting_shizuku_installer_preset_fdroid","F-Droid","in","F-Droid"
"setting_shizuku_installer_preset_amazon","Amazon Appstore","in","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","in","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","in","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","in","Xiaomi GetApps"
"setting_about_app_name","Universal Installer","in","Universal Installer"
"setting_github_title","GitHub","in","GitHub"
"setting_telegram_title","Telegram","in","Telegram"
"setting_website_subtitle","universal-installer.pwhs.app","in","universal-installer.pwhs.app"
"setting_rate_title","Rate App","in","Beri Nilai Aplikasi"
"about_creator_subtitle","Pass With High Score","in","Pass With High Score"
"about_license_subtitle","GNU GPL v3","in","GNU GPL v3"
"about_btn_ok","OK","in","Oke"
"installer_mode_shizuku","Shizuku","in","Shizuku"
"installer_mode_root","Root","in","Root"
"tv_sync_screen_title","Send to TV","in","Kirim ke TV"
"tv_sync_hero_title","Send an app to your TV","in","Kirim aplikasi ke TV Anda"
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","in","Di TV, buka Universal Installer → Instal, lalu pindai QR yang ditampilkan di sana."
"tv_sync_btn_scan","Scan TV QR","in","Pindai QR TV"
"tv_sync_prompt_scan","Scan the QR on your TV","in","Pindai QR di TV Anda"
"tv_sync_status_connected","Connected to %1$s","in","Terhubung ke %1$s"
"tv_sync_btn_choose_apk","Choose APK to send","in","Pilih APK untuk dikirim"
"tv_sync_btn_rescan","Scan a different TV","in","Pindai TV lain"
"tv_sync_status_sending","Sending…","in","Mengirim…"
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","in","Terkirim ✓ — konfirmasikan penginstalan di TV Anda"
"tv_sync_status_failed","Failed: %1$s","in","Gagal: %1$s"
"sync_storage_permission_title","Storage Permission Required","in","Izin Penyimpanan Diperlukan"
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant ""All files access"" in Settings.","in","Server Sinkronisasi memerlukan akses penyimpanan penuh untuk membagikan dan mengelola file APK. Harap berikan ""Akses ke semua file"" di Pengaturan."
"sync_open_settings","Open Settings","in","Buka Pengaturan"
"sync_qr_code_title","Scan QR Code","in","Pindai Kode QR"
"sync_qr_code_message","Open your camera and scan this code to access the server.","in","Buka kamera Anda dan pindai kode ini untuk mengakses server."
"sync_close","Close","in","Tutup"
"sync_server_offline","Server Offline","in","Server Offline"
